City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
161,Hun,LY,2022-03-22 16:23:11,29.1268,15.9477,60.03,32,6,17.74
162,Warri,NG,2022-03-22 16:23:12,5.5167,5.75,91.42,53,100,9.8
163,Makakilo City,US,2022-03-22 16:23:12,21.3469,-158.0858,71.92,78,75,6.91
164,Antalaha,MG,2022-03-22 16:23:13,-14.9003,50.2788,77.23,89,98,8.32
165,Victoria,HK,2022-03-22 16:21:40,22.2855,114.1577,78.85,92,93,5.99
166,Airai,TL,2022-03-22 16:23:13,-8.9266,125.4092,60.57,92,100,1.03
167,Juegang,CN,2022-03-22 16:23:14,32.3174,121.1855,46.9,85,100,4.74
168,Henties Bay,NA,2022-03-22 16:23:14,-22.116,14.2845,70.12,79,25,8.95
169,Ixtapa,MX,2022-03-22 16:23:15,20.7,-105.2,70.83,53,100,0.0
170,Atyrau,KZ,2022-03-22 16:23:16,47.1167,51.8833,30.22,69,0,8.95
171,Leshan,CN,2022-03-22 16:23:17,29.5623,103.7639,55.94,81,100,3.31
172,Northam,GB,2022-03-22 16:23:17,51.0333,-4.2167,57.25,69,12,16.64
173,Kisangani,CD,2022-03-22 16:23:18,0.5167,25.2,74.93,89,98,2.75
174,Mahon,ES,2022-03-22 16:23:19,39.8885,4.2658,55.96,58,75,20.71
175,Bunbury,AU,2022-03-22 16:21:08,-33.3333,115.6333,59.77,66,2,14.99
176,Geraldton,AU,2022-03-22 16:23:20,-28.7667,114.6,64.81,72,0,10.36
177,Barrow,US,2022-03-22 16:20:02,71.2906,-156.7887,-27.38,68,20,13.8
178,Vestmannaeyjar,IS,2022-03-22 16:23:20,63.4427,-20.2734,45.59,100,40,3.44
179,Tessalit,ML,2022-03-22 16:23:21,20.1986,1.0114,90.12,5,0,11.79
180,Meulaboh,ID,2022-03-22 16:23:22,4.1363,96.1285,78.71,86,98,3.29
181,Viisoara,RO,2022-03-22 16:23:22,46.55,23.9167,62.37,12,0,10.36
182,Khani,GE,2022-03-22 16:23:22,41.9563,42.9566,33.37,91,93,4.52
183,Wrexham,GB,2022-03-22 16:23:23,53.0,-3.0,64.33,52,0,13.8
184,Dikson,RU,2022-03-22 16:23:23,73.5069,80.5464,9.93,88,100,22.24
185,Hakkari,TR,2022-03-22 16:24:24,37.5833,44.1667,32.49,88,98,2.57
186,Gashua,NG,2022-03-22 16:21:05,12.871,11.0482,102.85,6,85,6.02
187,Souillac,MU,2022-03-22 16:24:25,-20.5167,57.5167,80.98,94,40,3.44
188,Caraballeda,VE,2022-03-22 16:24:26,10.6112,-66.8522,90.86,50,27,12.17
189,Portree,GB,2022-03-22 16:24:27,57.4129,-6.1942,62.53,55,43,8.03
190,Zhigalovo,RU,2022-03-22 16:24:27,54.8097,105.1578,3.92,100,92,2.13
191,Anupgarh,IN,2022-03-22 16:24:28,29.1911,73.2086,86.23,10,0,9.62
192,Limon,CR,2022-03-22 16:24:29,10.0,-83.0333,80.49,78,75,17.27
193,Guantanamo,CU,2022-03-22 16:24:29,20.1444,-75.2092,85.57,40,1,12.08
194,Diffa,NE,2022-03-22 16:24:30,13.3154,12.6113,100.72,8,76,6.42
195,Zmeinogorsk,RU,2022-03-22 16:24:30,51.1567,82.195,26.62,95,100,17.76
196,Sept-Iles,CA,2022-03-22 16:22:41,50.2001,-66.3821,37.06,61,100,16.11
197,Vodyane,UA,2022-03-22 16:24:31,47.4875,34.4924,42.04,53,0,11.81
198,Obihiro,JP,2022-03-22 16:24:32,42.9172,143.2044,21.78,89,41,5.88
199,Ust-Shonosha,RU,2022-03-22 16:24:33,61.1531,41.343,35.26,90,100,5.59
200,Blagoyevo,RU,2022-03-22 16:24:33,63.3667,47.9167,29.95,77,96,10.42
201,Axim,GH,2022-03-22 16:24:34,4.8699,-2.2405,84.88,70,100,9.08
202,Madimba,TZ,2022-03-22 16:24:35,-10.4,40.3333,78.12,89,46,8.7
203,Tucupita,VE,2022-03-22 16:24:35,9.0622,-62.051,90.39,42,60,4.94
204,Saint-Junien,FR,2022-03-22 16:24:36,45.8833,0.9,61.38,41,43,6.73
205,Havelock,US,2022-03-22 16:24:37,34.8791,-76.9013,70.99,51,40,4.61
206,Ombessa,CM,2022-03-22 16:24:37,4.603,11.2565,97.7,21,100,2.98
207,Tateyama,JP,2022-03-22 16:24:38,34.9833,139.8667,39.09,74,45,22.01
208,Gat,IL,2022-03-22 16:24:38,31.61,34.7642,55.81,50,10,9.1
209,Sao Filipe,CV,2022-03-22 16:24:39,14.8961,-24.4956,72.18,69,5,14.54
210,Doba,TD,2022-03-22 16:24:39,8.65,16.85,102.7,5,100,3.6
211,Harrisonburg,US,2022-03-22 16:23:16,38.4496,-78.8689,68.38,42,0,3.44
212,Doka,SD,2022-03-22 16:24:40,13.5167,35.7667,94.86,9,62,7.67
213,Oranjestad,AW,2022-03-22 16:24:40,12.524,-70.027,85.95,58,20,25.32
214,Saint George,US,2022-03-22 16:21:46,37.1041,-113.5841,56.62,32,0,6.91
215,Cherdyn,RU,2022-03-22 16:24:41,60.403,56.4787,29.59,85,100,12.03
216,Sao Gabriel Da Cachoeira,BR,2022-03-22 16:24:41,-0.1303,-67.0892,80.26,90,79,3.76
