City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Descriptions
132,Qaanaaq,GL,77.484,-69.3632,-4.04,94,100,7.78,overcast clouds
133,Villamontes,BO,-21.25,-63.5,90.84,55,40,5.75,scattered clouds
134,Kapaa,US,22.0752,-159.319,75.18,84,91,16.82,moderate rain
135,Hithadhoo,MV,-0.6,73.0833,83.8,67,5,15.12,clear sky
136,Lima,PE,-12.0432,-77.0282,73.38,81,0,9.22,clear sky
137,Kutum,SD,14.2,24.6667,77.79,13,95,12.35,overcast clouds
138,Anadyr,RU,64.75,177.4833,5.5,84,20,4.47,fog
139,Solnechnyy,RU,50.7214,136.6319,14.61,94,78,3.58,broken clouds
140,Evensk,RU,61.95,159.2333,20.77,96,100,2.04,light snow
141,Bredasdorp,ZA,-34.5322,20.0403,69.75,82,77,8.01,broken clouds
142,Harper,LR,4.375,-7.7169,82.42,75,98,6.15,overcast clouds
143,Tasiilaq,GL,65.6145,-37.6368,10.98,75,100,3.65,overcast clouds
144,Pevek,RU,69.7008,170.3133,11.84,84,47,8.99,scattered clouds
145,Nedjo,ET,9.5046,35.5019,71.94,21,56,5.1,broken clouds
146,Kirakira,SB,-10.4544,161.9205,78.87,85,78,1.25,broken clouds
147,Caravelas,BR,-17.7125,-39.2481,80.6,73,66,8.5,light rain
148,Kruisfontein,ZA,-34.0033,24.7314,63.88,95,11,7.49,few clouds
149,Airai,TL,-8.9266,125.4092,59.2,93,96,0.54,moderate rain
150,Narsaq,GL,60.9167,-46.05,30.34,64,100,2.28,overcast clouds
151,Thompson,CA,55.7435,-97.8558,32.16,74,100,9.22,overcast clouds
152,Vaini,TO,-21.2,-175.2,73.56,100,99,2.3,overcast clouds
153,Kununurra,AU,-15.7667,128.7333,80.58,89,100,6.91,overcast clouds
154,Tanout,NE,14.9709,8.8879,85.28,11,34,10.74,scattered clouds
155,Abilene,US,32.4487,-99.7331,59.18,26,75,16.11,broken clouds
156,Srednekolymsk,RU,67.45,153.6833,0.45,99,99,2.71,overcast clouds
157,Karasuk,RU,53.7377,78.0403,27.21,92,100,19.24,light snow
158,Eureka,US,40.8021,-124.1637,53.58,88,99,5.99,overcast clouds
159,Palauig,PH,15.435,119.9045,80.35,80,13,7.09,few clouds
160,Pochutla,MX,15.7432,-96.4661,88.83,38,0,8.88,clear sky
161,Dakar,SN,14.6937,-17.4441,77.88,68,0,13.8,clear sky
162,Kargasok,RU,59.0556,80.8572,15.82,96,98,5.99,overcast clouds
163,Broome,US,42.2506,-75.833,47.7,43,100,5.99,overcast clouds
164,Krasnoselkup,RU,65.7,82.4667,7.12,96,94,9.31,overcast clouds
165,Abay,KZ,49.6311,72.8539,19.78,93,100,19.66,light snow
166,Tulun,RU,54.5611,100.5792,19.65,85,100,10.92,overcast clouds
167,Avarua,CK,-21.2078,-159.775,77.05,94,40,4.61,scattered clouds
168,Lorengau,PG,-2.0226,147.2712,81.27,76,100,6.62,overcast clouds
169,Dikson,RU,73.5069,80.5464,7.29,91,100,11.41,overcast clouds
170,Castro,BR,-24.7911,-50.0119,72.05,71,98,6.17,overcast clouds
171,Longyearbyen,SJ,78.2186,15.6401,-0.56,65,20,8.05,few clouds
172,Ughelli,NG,5.4899,6.0074,79.03,89,100,2.15,heavy intensity rain
173,Sugod,PH,12.987,124.0805,79.47,84,44,7.61,scattered clouds
174,Taoudenni,ML,22.6783,-3.9836,88.7,8,3,5.28,clear sky
175,Kirovskiy,RU,45.0917,133.5136,29.05,98,86,4.76,overcast clouds
176,Hovd,MN,48.0056,91.6419,19.13,29,18,2.93,few clouds
177,Fukue,JP,32.6881,128.8419,52.93,61,1,13.51,clear sky
178,Riverton,US,40.5219,-111.9391,53.78,45,0,10.36,clear sky
179,Prudnik,PL,50.3212,17.5746,56.91,40,0,2.04,clear sky
180,Souillac,MU,-20.5167,57.5167,80.98,78,20,6.91,few clouds
181,Panuco,MX,22.05,-98.1667,78.42,27,9,11.36,clear sky
182,Hobart,AU,-42.8794,147.3294,56.23,77,75,12.66,broken clouds
183,Chuy,UY,-33.6971,-53.4616,82.0,52,43,8.03,scattered clouds
184,Ikryanoye,RU,46.0932,47.7308,30.18,64,0,9.28,clear sky
185,Djibo,BF,14.1022,-1.6306,95.9,8,22,6.08,few clouds
186,Tuktoyaktuk,CA,69.4541,-133.0374,-18.4,69,40,21.85,scattered clouds
187,Chirongui,YT,-12.9319,45.1483,84.13,76,59,13.04,broken clouds
188,Nemuro,JP,43.3236,145.575,31.62,92,100,7.31,light snow
189,Krotovka,RU,53.2858,51.1686,33.71,96,100,6.17,overcast clouds
190,Ketchikan,US,55.3422,-131.6461,42.78,85,100,8.63,light rain
191,Moerai,PF,-22.4333,-151.3333,79.56,70,94,8.97,overcast clouds
192,Christchurch,NZ,-43.5333,172.6333,63.0,93,40,12.66,light rain
193,Luganville,VU,-15.5333,167.1667,77.23,89,99,4.7,overcast clouds
194,Blantyre,MW,-15.785,35.0085,64.45,94,58,3.85,broken clouds
195,Casino,AU,-28.8667,153.05,71.56,94,88,4.61,overcast clouds
196,Yellowknife,CA,62.456,-114.3525,12.42,84,100,3.44,light snow
197,Vardo,NO,70.3705,31.1107,28.38,80,75,17.27,broken clouds
198,Lavrentiya,RU,65.5833,-171.0,-2.72,74,6,5.12,clear sky
199,Hermanus,ZA,-34.4187,19.2345,70.81,88,97,9.78,light rain
200,Lompoc,US,34.6391,-120.4579,79.02,43,0,4.41,clear sky
201,Krasnogvardeyskiy,RU,57.3793,62.3195,34.16,79,100,14.27,overcast clouds
202,Qabaqcol,AZ,41.72,46.2647,41.04,79,97,2.55,overcast clouds
203,Leningradskiy,RU,69.3833,178.4167,2.95,87,97,4.16,overcast clouds
204,Tucuman,AR,-26.8241,-65.2226,84.2,54,40,5.75,scattered clouds
205,Port-Gentil,GA,-0.7193,8.7815,84.16,74,20,8.05,few clouds
206,Ucluelet,CA,48.9329,-125.5528,47.08,93,96,8.01,overcast clouds
207,Aldan,RU,58.6031,125.3894,7.14,92,56,6.91,broken clouds
208,Khatanga,RU,71.9667,102.5,4.08,97,100,4.09,overcast clouds
209,Mbekenyera,TZ,-10.0,38.9833,72.25,97,91,3.33,overcast clouds
210,Nichinan,JP,31.6,131.3667,48.24,88,47,5.41,scattered clouds
211,Rehoboth,NA,-23.3167,17.0833,75.27,41,88,6.2,overcast clouds
212,Oranjemund,NA,-28.55,16.4333,64.98,92,3,5.7,clear sky
213,Charlestown,AU,-32.95,151.6667,68.86,96,100,4.0,light rain
214,Parintins,BR,-2.6283,-56.7358,83.03,81,57,4.25,moderate rain
215,Kavieng,PG,-2.5744,150.7967,81.43,77,100,8.86,light rain
216,Hasaki,JP,35.7333,140.8333,36.0,91,100,19.01,light rain
217,Carnarvon,AU,-24.8667,113.6333,78.87,73,95,6.91,overcast clouds
218,Cristalina,BR,-16.7686,-47.6136,71.01,66,60,6.8,broken clouds
219,Talnakh,RU,69.4865,88.3972,7.21,83,100,8.81,overcast clouds
220,Constitucion,CL,-35.3333,-72.4167,58.69,55,86,8.86,overcast clouds
221,Nome,US,64.5011,-165.4064,5.5,71,0,7.63,clear sky
222,Faya,SA,18.3851,42.4509,64.51,57,19,3.42,few clouds
223,Petatlan,MX,17.5167,-101.2667,88.5,31,27,7.2,scattered clouds
224,Tautira,PF,-17.7333,-149.15,80.01,75,97,11.81,overcast clouds
225,Raahe,FI,64.6833,24.4833,37.49,92,44,17.81,scattered clouds
226,Palmer,US,42.1584,-72.3287,48.85,31,95,1.99,overcast clouds
227,Kroya,ID,-7.6331,109.2461,77.45,90,100,0.92,overcast clouds
228,Takaka,NZ,-40.85,172.8,62.56,92,100,2.89,light rain
229,Saldanha,ZA,-33.0117,17.9442,75.25,88,43,18.77,scattered clouds
230,Chadan,RU,51.2833,91.5833,1.6,83,90,4.16,overcast clouds
231,Bafia,CM,4.75,11.2333,85.37,41,93,6.53,overcast clouds
232,Patea,NZ,-39.7583,174.4833,61.97,97,100,7.11,moderate rain
233,Scarborough,GB,54.2797,-0.4044,57.33,73,4,3.0,clear sky
234,Suntar,RU,62.1444,117.6319,15.13,98,100,2.51,overcast clouds
235,Lebu,CL,-37.6167,-73.65,57.94,56,21,14.97,few clouds
236,Tazovskiy,RU,67.4667,78.7,5.13,95,68,13.24,broken clouds
237,Stornoway,GB,58.2093,-6.3865,53.92,64,0,9.22,clear sky
238,Klaksvik,FO,62.2266,-6.589,47.32,97,100,6.78,overcast clouds
239,Mombasa,KE,-4.0547,39.6636,82.81,83,20,10.36,few clouds
240,Andijon,UZ,40.7821,72.3442,36.68,92,100,5.66,light rain
241,Victoria,HK,22.2855,114.1577,63.95,91,100,4.0,overcast clouds
242,Kushima,JP,31.4583,131.2333,47.28,92,16,3.33,few clouds
243,Olafsvik,IS,64.8945,-23.7142,40.24,98,100,9.86,overcast clouds
244,Cidreira,BR,-30.1811,-50.2056,74.61,68,100,10.71,light rain
245,Pindiga,NG,9.9833,10.9333,92.07,10,42,5.93,scattered clouds
246,Fare,PF,-16.7,-151.0167,80.42,73,85,11.9,overcast clouds
247,Esperance,AU,-33.8667,121.9,57.04,75,3,5.82,clear sky
248,Sur,OM,22.5667,59.5289,81.12,38,0,6.13,clear sky
249,Itarema,BR,-2.9248,-39.9167,81.9,79,100,10.18,light rain
250,Geraldton,AU,-28.7667,114.6,77.41,31,0,17.27,clear sky
251,Hirara,JP,24.8,125.2833,65.28,76,100,19.17,overcast clouds
252,Magadan,RU,59.5667,150.8,4.73,84,18,5.77,few clouds
253,Shache,CN,38.4167,77.2406,59.76,26,97,7.25,overcast clouds
254,Narasapur,IN,16.45,81.6667,80.71,82,77,8.14,broken clouds
255,Gimli,CA,50.6336,-96.9907,31.55,86,22,10.89,few clouds
256,Adrar,MR,20.5022,-10.0711,89.28,8,18,5.39,few clouds
257,Mormugao,IN,15.4,73.8,81.66,65,75,3.44,broken clouds
258,Cowra,AU,-33.8333,148.6833,62.02,80,97,5.14,overcast clouds
259,Portland,US,45.5234,-122.6762,57.52,92,100,5.99,light intensity drizzle
260,Myaundzha,RU,63.0494,147.1858,-2.9,100,100,2.04,overcast clouds
261,Hobyo,SO,5.3505,48.5268,80.73,73,7,11.81,clear sky
262,Quelimane,MZ,-17.8786,36.8883,78.75,83,20,5.01,few clouds
263,Jining,CN,35.405,116.5814,45.19,93,0,8.75,clear sky
264,Miri,MY,4.4148,114.0089,77.14,94,20,2.3,few clouds
265,Bondoukou,CI,8.0333,-2.8,88.41,43,88,4.76,overcast clouds
